Key,en,vi,th,ja,es,id,km,ph,bn,zh,hk,tr,fr,ru,ko,fa,pt,es-pe,es-mx,sg,in,au
instant_benefit_block_6,"<h4>For Evaluating traders</h4><div class=""cnt""><p>We believe we provide the best evaluation environment because we don't limit trading styles.</p><ul><li>Zero Phase - No Challenges.</li><li>Allows news trading and unlimited <br>contract size.</li><li>We allow all trading styles: EA trading, copy trading, scalp trading and day trading.</li></ul></div>",,"<h4>สำหรับการประเมินเทรดเดอร์</h4><div class=""cnt""><p>เราเชื่อว่าเรามีสภาพแวดล้อมการประเมินที่ดี เพราะเราไม่จำกัดสไตล์การเทรด</p><ul><li>ไม่มีเฟส — ไม่ต้องมี Challenge</li><li>อนุญาตให้เทรดข่าวและขนาดสัญญาไม่จำกัด</li><li>รองรับทุกสไตล์: EA, copy trading, scalp และ day trading</li></ul></div>","<h4>トレーダー評価向け</h4><div class=""cnt""><p>当社は取引スタイルに制限を設けていないため、優れた評価環境を提供していると考えています。</p><ul><li>ゼロフェーズ — チャレンジ不要。</li><li>ニューストレードおよび無制限の契約サイズに対応。</li><li>すべての取引スタイルに対応：EA、コピートレード、スキャルピング、デイトレード。</li></ul></div>","<h4>Para evaluar traders</h4><div class=""cnt""><p>Creemos que ofrecemos un entorno de evaluación óptimo porque no limitamos los estilos de trading.</p><ul><li>Fase cero — sin desafíos.</li><li>Permite trading de noticias y tamaño de contrato ilimitado.</li><li>Se permiten todos los estilos: EA trading, copy trading, scalping y day trading.</li></ul></div>",,"<h4>សម្រាប់វាយតម្លៃអ្នកជួញដូរ</h4><div class=""cnt""><p>យើងជឿថាយើងផ្តល់បរិយាកាសវាយតម្លៃល្អ ព្រោះមិនកំណត់ស្ទាយល៍ជួញដូរ</p><ul><li>Zero Phase — មិនមាន Challenge</li><li>អនុញ្ញាតឱ្យជួញដូរព័ត៌មាន និងទំហំកុងត្រាមិនកំណត់</li><li>អនុញ្ញាតគ្រប់ស្ទាយល៍: EA, copy trading, scalp និង day trading</li></ul></div>",,"<h4>ট্রেডার মূল্যায়নের জন্য</h4><div class=""cnt""><p>আমরা বিশ্বাস করি আমরা সেরা মূল্যায়ন পরিবেশ প্রদান করি কারণ আমরা ট্রেডিং স্টাইল সীমাবদ্ধ করি না</p><ul><li>জিরো ফেজ — কোনো চ্যালেঞ্জ নেই</li><li>নিউজ ট্রেডিং এবং আনলিমিটেড কনট্রাক্ট সাইজ অনুমোদিত</li><li>সব স্টাইল অনুমোদিত: EA, কপি ট্রেডিং, স্ক্যাল্পিং এবং ডে ট্রেডিং</li></ul></div>","<h4>用于评估交易者</h4><div class=""cnt""><p>我们认为我们提供了优秀的评估环境，因为我们不限制交易方式。</p><ul><li>零阶段 — 无需挑战。</li><li>允许新闻交易及无限合约规模。</li><li>支持所有交易方式：EA交易、跟单交易、剥头皮交易和日内交易。</li></ul></div>","<h4>用於評估交易者</h4><div class=""cnt""><p>我們認為我們提供優質的評估環境，因為我們不限制交易方式。</p><ul><li>零階段 — 無需挑戰</li><li>允許新聞交易及無限合約規模</li><li>支援所有交易方式：EA、跟單、剝頭皮及日內交易</li></ul></div>","<h4>Trader Değerlendirmesi İçin</h4><div class=""cnt""><p>İşlem tarzlarını sınırlamadığımız için en iyi değerlendirme ortamını sunduğumuza inanıyoruz.</p><ul><li>Sıfır aşama — challenge yok.</li><li>Haber tradingine ve sınırsız kontrat büyüklüğüne izin verilir.</li><li>Tüm trading stillerine izin verilir: EA trading, copy trading, scalp trading ve day trading.</li></ul></div>","<h4>Pour l’évaluation des traders</h4><div class=""cnt""><p>Nous pensons offrir un environnement d’évaluation optimal car nous ne limitons pas les styles de trading.</p><ul><li>Zéro phase — aucun challenge.</li><li>Autorise le trading sur actualités et une taille de contrat illimitée.</li><li>Tous les styles sont autorisés : trading EA, copy trading, scalping et day trading.</li></ul></div>","<h4>Для оценки трейдеров</h4><div class=""cnt""><p>Мы считаем, что предоставляем оптимальную среду для оценки, так как не ограничиваем стили торговли.</p><ul><li>Нулевая фаза — без этапа Challenge.</li><li>Разрешена торговля на новостях и неограниченный размер контрактов.</li><li>Поддерживаются все стили: EA, копи-трейдинг, скальпинг и дейтрейдинг.</li></ul></div>","<h4>트레이더 평가용</h4><div class=""cnt""><p>트레이딩 스타일을 제한하지 않기 때문에 최적의 평가 환경을 제공한다고 생각합니다.</p><ul><li>제로 단계 — 챌린지 없음.</li><li>뉴스 트레이딩 및 무제한 계약 규모 허용.</li><li>모든 스타일 허용: EA 트레이딩, 카피 트레이딩, 스캘핑, 데이 트레이딩.</li></ul></div>","<h4>برای ارزیابی معامله‌گران</h4><div class=""cnt""><p>ما معتقدیم محیط ارزیابی مناسبی ارائه می‌دهیم زیرا سبک‌های معاملاتی را محدود نمی‌کنیم.</p><ul><li>مرحله صفر — بدون چالش</li><li>امکان معامله در زمان اخبار و اندازه قرارداد نامحدود</li><li>تمام سبک‌ها مجاز هستند: EA، کپی تریدینگ، اسکالپ و معاملات روزانه</li></ul></div>","<h4>Para avaliação de traders</h4><div class=""cnt""><p>Acreditamos que oferecemos um ambiente de avaliação ideal, pois não limitamos os estilos de trading.</p><ul><li>Fase zero — sem desafios</li><li>Permite trading de notícias e tamanho de contrato ilimitado</li><li>Todos os estilos são permitidos: EA, copy trading, scalping e day trading</li></ul></div>",,,,,
instant_funding_accountSize,Account Size,Quy mo tai khoan,ขนาดบัญชี,Account Size,Tamano de la cuenta,Ukuran Akun,Account Size,,Account Size,Account Size,Account Size,Account Size,Taille du compte,Account Size,Account Size,,Tamanho da Conta,,,,,
instant_funding_buyingPower,Buying Power,Suc mua,กำลังซื้อ,Buying Power,Poder de Compra,Poder de Compra,Buying Power,,Buying Power,Buying Power,Buying Power,Buying Power,Buying Power,Buying Power,Buying Power,,Poder de Compra,,,,,
instant_funding_capitalPackage,Capital Package,Goi von,เงินทุนแพ็กเกจ,Capital Package,Paquete de capital,Paket Modal,Capital Package,,Capital Package,Capital Package,Capital Package,Capital Package,Forfait de capital,Capital Package,Capital Package,,Pacote de capital,,,,,
instant_funding_comparison,Comparison,So sanh,เปรียบเทียบ,Comparison,Comparacion,Perbandingan,Comparison,,Comparison,Comparison,Comparison,Comparison,Comparaison,Comparison,Comparison,,Comparacao,,,,,
instant_funding_dailyLoss,Daily Loss,Lo toi da hang ngay,การขาดทุนรายวัน,Daily Loss,Perdida Diaria Maxima,Daily Loss,Daily Loss,,Daily Loss,Daily Loss,Daily Loss,Daily Loss,Daily Loss,Daily Loss,Daily Loss,,Perda Diaria,,,,,
instant_funding_faq,FAQs,Cau hoi thuong gap,คำถามที่พบบ่อย,FAQs,Preguntas Frecuentes,FAQs,FAQs,,FAQs,FAQs,FAQs,FAQs,FAQs,FAQs,FAQs,,Perguntas Frequentes,,,,,
instant_funding_freeSwap,Free-Swap,Mien phi swap,ฟรีค่าสวอป,Free-Swap,Libre de Swap,Free-Swap,Free-Swap,,Free-Swap,Free-Swap,Free-Swap,Free-Swap,Free-Swap,Free-Swap,Free-Swap,,Free-Swap,,,,,
instant_funding_freeTrial,Free Trial,Dung thu mien phi,ทดลองใช้ฟรี,Free Trial,Prueba Gratuita,Free Trial,Free Trial,,Free Trial,Free Trial,Free Trial,Free Trial,Free Trial,Free Trial,Free Trial,,Teste Gratuito,,,,,
instant_funding_maxLoss,Max Loss,Lo toi da,การขาดทุนสูงสุด,Max Loss,Perdida Maxima Total,Max Loss,Max Loss,,Max Loss,Max Loss,Max Loss,Max Loss,Max Loss,Max Loss,Max Loss,,Perda Maxima,,,,,
instant_funding_oneTimeFee,One-Time Fee,Phi mot lan,ค่าธรรมเนียมครั้งเดียว,One-Time Fee,Tarifa Unica,One-Time Fee,One-Time Fee,,One-Time Fee,One-Time Fee,One-Time Fee,One-Time Fee,One-Time Fee,One-Time Fee,One-Time Fee,,Taxa Unica,,,,,
instant_funding_package,Package,Goi,แพ็กเกจ,Package,Paquete,Paket,Package,,Package,Package,Package,Package,Forfait,Package,Package,,Pacote,,,,,
instant_funding_profitTargetToWithdraw,Profit Target To Withdraw,Muc tieu loi nhuan de rut,เป้าหมายกำไรสำหรับการถอน,Profit Target To Withdraw,Objetivo de Ganancia para Retiro,Profit Target To Withdraw,Profit Target To Withdraw,,Profit Target To Withdraw,Profit Target To Withdraw,Profit Target To Withdraw,Profit Target To Withdraw,Profit Target To Withdraw,Profit Target To Withdraw,Profit Target To Withdraw,,Meta de Lucro para Saque,,,,,
instant_funding_scaleUp,Scale Up Plan,Ke hoach tang von,แผนการขยายพอร์ต,Scale Up Plan,Plan de Escalamiento,Scale Up Plan,Scale Up Plan,,Scale Up Plan,Scale Up Plan,Scale Up Plan,Scale Up Plan,Scale Up Plan,Scale Up Plan,Scale Up Plan,,Plano de Crescimento,,,,,
instant_funding_swapFee,Swap Fee,Phi swap,ค่าธรรมเนียมสวอป,Swap Fee,Tarifa Swap,Swap Fee,Swap Fee,,Swap Fee,Swap Fee,Swap Fee,Swap Fee,Swap Fee,Swap Fee,Swap Fee,,Swap Fee,,,,,
instant_funding_titlePrefix,Choose Your Trading,Chon goi,เลือกแพ็กเกจ,Choose Your Trading,Elige tu,Pilih,Choose Your Trading,,Choose Your Trading,Choose Your Trading,Choose Your Trading,Choose Your Trading,Choisissez votre,Choose Your Trading,Choose Your Trading,,Escolha seu,,,,,
instant_funding_titleSuffix,Capital Package,von giao dich cua ban,เงินทุนสำหรับการเทรด,Capital Package,paquete de capital de trading,Paket Modal Trading Anda,Capital Package,,Capital Package,Capital Package,Capital Package,Capital Package,forfait de capital de trading,Capital Package,Capital Package,,pacote de capital de trading,,,,,
instant_funding_tryNow,Try Now,Thu ngay,ทดลองเทรดตอนนี้,Try Now,Probar Ahora,Try Now,Try Now,,Try Now,Try Now,Try Now,Try Now,Try Now,Try Now,Try Now,,Comece Agora,,,,,
instant_funding_weFundYou,we fund you,chung toi cap von cho ban,เราให้ทุนคุณ,we fund you,Prueba Gratuita,we fund you,we fund you,,we fund you,we fund you,we fund you,we fund you,we fund you,we fund you,we fund you,,Financiamos voce com,,,,,
instant_page_block_0,How it work,,วิธีการทำงาน,仕組み,Cómo funciona,Cara kerja,របៀបដំណើរការ,,এটি কীভাবে কাজ করে,运作方式,運作方式,Nasıl çalışır,Comment ça fonctionne,Как это работает,작동 방식,نحوه کارکرد,Como funciona,,,,,
instant_page_block_1,<h3>How <span>Instant Funding </span>Works</h3>,,<h3>แพ็กเกจ <span>Instant Funding <br></span>ทำงานอย่างไร</h3>,<h3><span>Instant Funding <br>パッケージ</span>の仕組み</h3>,<h3>Cómo funciona el <span>Paquete de <br>Instant Funding</span></h3>,,<h3><span>កញ្ចប់ Instant Funding <br></span>ដំណើរការយ៉ាងដូចម្តេច</h3>,,<h3><span>Instant Funding <br>প্যাকেজ</span> কীভাবে কাজ করে</h3>,<h3><span>即时资金 <br>套餐</span>如何运作</h3>,<h3><span>Instant Funding <br>套裝</span>如何運作</h3>,<h3><span>Anında Fonlama <br>Paketi</span> Nasıl Çalışır</h3>,<h3>Comment fonctionne le <span>Package <br>Instant Funding</span></h3>,<h3>Как работает <span>пакет <br>Instant Funding</span></h3>,<h3><span>Instant Funding <br>패키지</span>는 어떻게 작동하나요</h3>,<h3><span>بسته تأمین مالی فوری <br></span> چگونه کار می‌کند</h3>,<h3>Como funciona o <span>Pacote de <br>Instant Funding</span></h3>,,,,,
instant_page_block_10,Package,,แพ็กเกจ,パッケージ,Paquete,Paket,កញ្ចប់,,প্যাকেজ,套餐,套餐,Paket,Forfait,Пакет,패키지,پکیج,Pacote,Paquete,,,,
instant_page_block_11,<h3>Choose Your Trading <span>Capital Package</span></h3>,,<h3>เลือกแพ็กเกจ <span>เงินทุนสำหรับการเทรด</span></h3>,<h3>あなたの<span>トレーディング資金パッケージ</span>を選択</h3>,<h3>Elige tu <span>paquete de capital de trading</span></h3>,<h3>Pilih <span>Paket Modal Trading</span> Anda</h3>,<h3>ជ្រើសរើស <span>កញ្ចប់មូលធនសម្រាប់ជួញដូរ</span></h3>,,<h3>আপনার <span>ট্রেডিং ক্যাপিটাল প্যাকেজ</span> নির্বাচন করুন</h3>,<h3>选择您的 <span>交易资金套餐</span></h3>,<h3>選擇您的<span>交易資金方案</span></h3>,<h3><span>İşlem Sermayesi</span> Paketinizi Seçin</h3>,<h3>Choisissez votre <span>forfait de capital de trading</span></h3>,<h3>Выберите <span>пакет торгового капитала</span></h3>,<h3><span>트레이딩 자본</span> 패키지를 선택하세요</h3>,<h3>بسته <span>سرمایه معاملاتی</span> خود را انتخاب کنید</h3>,<h3>Escolha seu <span>pacote de capital de trading</span></h3>,"<h1 class=""h3"">Elige tu <span>paquete de capital de trading</span></h1>",<h3>Elige tu <span>paquete de capital de trading</span></h3>,,,
instant_page_block_12,Capital Package,,แพ็กเกจเงินทุน,資金パッケージ,Paquete de capital,Paket Modal,កញ្ចប់មូលធន,,ক্যাপিটাল প্যাকেজ,资金套餐,資金方案,Sermaye Paketi,Forfait de capital,Пакет капитала,자본 패키지,بسته سرمایه,Pacote de capital,Paquete de capital,Paquete de capital,,,
instant_page_block_13,Comparison,,เปรียบเทียบ,比較,Comparación,Perbandingan,ប្រៀបធៀប,,তুলনা,比较,比較,Karşılaştırma,Comparaison,Сравнение,비교,مقایسه,Comparação,Comparación,Comparación,,,
instant_page_block_14,Account Size,,ขนาดบัญชี,口座サイズ,Tamaño de la cuenta,Ukuran Akun,ទំហំគណនី,,অ্যাকাউন্টের আকার,账户规模,帳戶規模,Hesap Büyüklüğü,Taille du compte,Размер счета,계좌 규모,اندازه حساب,Tamanho da Conta,Tamaño de la cuenta,,,,
instant_page_block_2,"WeMasterTrade is designed to support people who do not have big money to create a large day trading account, lack trading experience, and have limited trading tools and resources.",,WeMasterTrade ถูกออกแบบมาเพื่อสนับสนุนผู้ที่ไม่มีเงินทุนจำนวนมากในการสร้างบัญชีเทรดรายวันขนาดใหญ่ ขาดประสบการณ์ในการเทรด และมีเครื่องมือและทรัพยากรในการเทรดอย่างจำกัด,WeMasterTrade は、大きなデイトレード口座を作るための資金がない人、取引経験が不足している人、そして取引ツールやリソースが限られている人を支援するために設計されています,"WeMasterTrade está diseñado para apoyar a las personas que no tienen grandes capitales para crear una cuenta grande de day trading, carecen de experiencia en trading y cuentan con herramientas y recursos limitados","WeMasterTrade dirancang untuk mendukung orang-orang yang tidak memiliki modal besar untuk membuat akun day trading besar, kurang pengalaman trading, dan memiliki alat serta sumber daya trading yang terbatas",WeMasterTrade ត្រូវបានរចនាឡើងដើម្បីគាំទ្រអ្នកដែលមិនមានទុនធំសម្រាប់បង្កើតគណនីជួញដូរប្រចាំថ្ងៃធំ ខ្វះបទពិសោធន៍ក្នុងការជួញដូរ និងមានឧបករណ៍និងធនធានជួញដូរមានកំណត់,,"WeMasterTrade এমন মানুষের জন্য তৈরি যারা বড় ডে ট্রেডিং অ্যাকাউন্ট তৈরির মতো বড় মূলধন নেই, ট্রেডিং অভিজ্ঞতা কম এবং ট্রেডিং টুল ও রিসোর্স সীমিত",WeMasterTrade 旨在支持那些没有大量资金建立大型日内交易账户、缺乏交易经验以及交易工具和资源有限的人,WeMasterTrade 旨在支持那些沒有大量資金建立大型日內交易帳戶、缺乏交易經驗以及交易工具和資源有限的人,"WeMasterTrade, büyük bir gün içi işlem hesabı oluşturacak büyük sermayesi olmayan, işlem deneyimi eksik olan ve sınırlı işlem araçları ile kaynaklara sahip kişileri desteklemek için tasarlanmıştır","WeMasterTrade est conçu pour soutenir les personnes qui ne disposent pas de capitaux importants pour créer un grand compte de trading journalier, qui manquent d’expérience en trading et qui disposent d’outils et de ressources limités","WeMasterTrade создан для поддержки людей, у которых нет большого капитала для создания крупного счета для дневной торговли, недостаточно торгового опыта и ограничены торговые инструменты и ресурсы","WeMasterTrade는 큰 규모의 데이 트레이딩 계좌를 만들 자금이 부족하고, 거래 경험이 부족하며, 거래 도구와 자원이 제한된 사람들을 지원하기 위해 설계되었습니다",WeMasterTrade برای حمایت از افرادی طراحی شده است که سرمایه زیادی برای ایجاد یک حساب بزرگ معاملات روزانه ندارند، تجربه معاملاتی کمی دارند و ابزارها و منابع معاملاتی محدودی در اختیار دارند,"O WeMasterTrade foi projetado para apoiar pessoas que não possuem muito capital para criar uma grande conta de day trading, têm pouca experiência em trading e contam com ferramentas e recursos de trading limitados","WeMasterTrade está diseñado para apoyar a personas que no cuentan con capital suficiente para crear una cuenta grande de day trading, o que no tienen experiencia ni herramientas de trading avanzadas.<br><br>Si te tomaría más de 12 meses ahorrar $10,000 USD para abrir una cuenta con acceso limitado al mercado, altas comisiones y ejecución lenta, ¿por qué no empezar de inmediato con WeMasterTrade?<br><br>Pagas una pequeña Fee de activación, comienzas a operar de forma inmediata y generas retornos según tu desempeño.",,,,
instant_page_block_3,Watch video,,ดูวิดีโอ,動画を見る,Ver video,Tonton video,មើលវីដេអូ,,ভিডিও দেখুন,观看视频,觀看影片,Videoyu izle,Regarder la vidéo,Смотреть видео,영상 보기,مشاهده ویدیو,Assistir vídeo,Ver video,,,,
instant_page_block_4,Step 1,,ขั้นตอนที่ 1,ステップ 1,Paso 1,Langkah 1,ជំហាន 1,,ধাপ ১,步骤 1,步驟 1,Adım 1,Étape 1,Шаг 1,1단계,مرحله 1,Passo 1,PASO 1,,,,
instant_page_block_5,"<h4>Fill the discovery form</h4><ul><li>Check the Instant package comparison to choose the option that best fits your trading goals: <a href=""",,"<h4>กรอกแบบฟอร์มสำรวจ</h4><ul><li>ตรวจสอบการเปรียบเทียบแพ็กเกจ Instant เพื่อเลือกตัวเลือกที่เหมาะกับเป้าหมายการเทรดของคุณมากที่สุด: <a href=""","<h4>ディスカバリーフォームに入力してください</h4><ul><li>取引目標に最適なプランを選ぶために、Instantパッケージの比較をご確認ください：<a href=""","<h4>Complete el formulario de descubrimiento</h4><ul><li>Consulte la comparación de paquetes Instant para elegir la opción que mejor se adapte a sus objetivos de trading: <a href=""",,"<h4>បំពេញទម្រង់ស្វែងរក</h4><ul><li>ពិនិត្យការប្រៀបធៀបកញ្ចប់ Instant ដើម្បីជ្រើសរើសជម្រើសដែលសមស្របបំផុតសម្រាប់គោលដៅជួញដូររបស់អ្នក: <a href=""",,"<h4>ডিসকভারি ফর্ম পূরণ করুন</h4><ul><li>আপনার ট্রেডিং লক্ষ্যের সাথে সবচেয়ে উপযুক্ত অপশনটি বেছে নিতে Instant প্যাকেজ তুলনা দেখুন: <a href=""","<h4>填写探索表单</h4><ul><li>查看即时套餐对比，选择最符合您交易目标的方案：<a href=""","<h4>填寫探索表單</h4><ul><li>查看即時套餐比較，選擇最適合您交易目標的方案：<a href=""","<h4>Keşif formunu doldurun</h4><ul><li>İşlem hedeflerinize en uygun seçeneği belirlemek için Anlık paket karşılaştırmasını inceleyin: <a href=""","<h4>Remplissez le formulaire de découverte</h4><ul><li>Consultez la comparaison des forfaits Instant pour choisir l’option qui correspond le mieux à vos objectifs de trading : <a href=""","<h4>Заполните форму</h4><ul><li>Ознакомьтесь с сравнением пакетов Instant, чтобы выбрать вариант, который лучше всего соответствует вашим торговым целям: <a href=""","<h4>디스커버리 폼을 작성하세요</h4><ul><li>거래 목표에 가장 적합한 옵션을 선택하려면 Instant 패키지 비교를 확인하세요: <a href=""","<h4>فرم بررسی را تکمیل کنید</h4><ul><li>برای انتخاب بهترین گزینه متناسب با اهداف معاملاتی خود، مقایسه پکیج‌های Instant را بررسی کنید: <a href=""","<h4>Preencha o formulário de descoberta</h4><ul><li>Confira a comparação dos pacotes Instant para escolher a opção que melhor se adapta aos seus objetivos de trading: <a href=""",,,,,
instant_page_block_6,Step 2,,ขั้นตอนที่ 2,ステップ 2,Paso 2,Langkah 2,ជំហាន 2,,ধাপ ২,步骤 2,步驟 2,Adım 2,Étape 2,Шаг 2,2단계,مرحله 2,Passo 2,Paso 2,,,,
